Date,Open,High,Low,Close,Adj Close,Volume
2019-10-17,80.300003,80.419998,77.910004,79.849998,63.959404,8730300
2019-10-18,79.949997,81.959999,79.949997,80.550003,64.520126,8444700
2019-10-21,80.339996,81.900002,80.300003,81.800003,65.521378,4174900
2019-10-22,81.540001,81.970001,81.169998,81.169998,65.016739,4396900
2019-10-23,81.339996,82.120003,81.180000,81.779999,65.505333,3015300
2019-10-24,81.889999,82.070000,81.019997,81.449997,65.240997,3665500
2019-10-25,80.849998,82.129997,80.550003,81.980003,65.665543,3452600
2019-10-28,82.000000,82.379997,81.680000,82.089996,65.753639,3537600
2019-10-29,81.540001,82.449997,81.269997,81.849998,65.561394,3443300
2019-10-30,82.019997,82.110001,80.449997,81.209999,65.048775,3644200
2019-10-31,81.599998,82.029999,80.580002,81.440002,65.233009,4689400
2019-11-01,81.830002,83.040001,81.830002,82.970001,66.458519,4291800
2019-11-04,82.690002,83.980003,82.430000,83.440002,66.834991,4294100
2019-11-05,83.709999,84.779999,83.360001,84.199997,67.443748,4820400
2019-11-06,84.349998,84.699997,83.540001,83.699997,67.043228,4604700
2019-11-07,83.870003,83.910004,82.169998,82.250000,65.881805,5217600
2019-11-08,82.190002,83.669998,81.730003,83.570000,66.939110,5287600
2019-11-11,83.449997,84.099998,83.180000,83.739998,67.075264,2992400
2019-11-12,83.720001,84.500000,83.489998,84.459999,67.652000,3671200
2019-11-13,84.209999,84.839996,84.139999,84.730003,67.868286,3671400
2019-11-14,84.690002,84.690002,83.540001,83.639999,66.995186,2896700
2019-11-15,83.889999,84.800003,83.589996,84.790001,67.916328,4611400
2019-11-18,85.000000,85.320000,84.570000,84.790001,67.916328,3236800
2019-11-19,84.389999,84.739998,83.419998,83.459999,66.851006,4845200
2019-11-20,83.220001,85.599998,83.169998,83.480003,66.867020,5670100
2019-11-21,83.669998,84.900002,83.040001,83.459999,66.851006,4030700
2019-11-22,83.730003,84.330002,82.360001,82.379997,65.985931,4764400
2019-11-25,82.500000,82.769997,81.550003,82.370003,65.977921,8015400
2019-11-26,82.559998,83.260002,81.720001,82.269997,65.897820,5258500
2019-11-27,82.669998,83.180000,81.669998,82.480003,66.066032,4130800
2019-11-29,82.230003,83.139999,82.230003,82.930000,66.426476,2927900
2019-12-02,82.550003,82.809998,81.720001,82.599998,66.162155,4402300
2019-12-03,83.000000,83.070000,81.790001,82.970001,66.458519,4750300
2019-12-04,82.459999,83.040001,81.879997,82.099998,65.761658,5053500
2019-12-05,82.070000,82.430000,81.400002,82.379997,65.985931,5209800
2019-12-06,83.160004,83.680000,82.610001,83.250000,66.682800,3787000
2019-12-09,83.769997,83.930000,83.440002,83.589996,66.955132,3295500
2019-12-10,83.339996,84.230003,83.080002,83.900002,67.203438,3496300
2019-12-11,84.250000,85.120003,84.000000,84.839996,67.956390,3719700
2019-12-12,84.839996,85.000000,84.000000,84.050003,67.323601,6104400
2019-12-13,84.000000,84.889999,83.660004,84.669998,67.820213,5574800
2019-12-16,85.349998,86.459999,85.309998,86.250000,69.085785,5594500
2019-12-17,85.839996,86.309998,85.230003,85.949997,68.845490,5435500
2019-12-18,84.699997,85.900002,84.449997,85.699997,69.592560,6240900
2019-12-19,85.900002,86.239998,85.599998,85.989998,69.828064,5085200
2019-12-20,86.879997,87.080002,85.199997,85.269997,69.243393,9379200
2019-12-23,85.589996,86.139999,85.519997,86.019997,69.852417,3992400
2019-12-24,86.019997,86.410004,85.820000,86.110001,69.925491,1233800
2019-12-26,86.239998,86.510002,85.510002,86.029999,69.860535,2549100
2019-12-27,86.019997,86.440002,85.790001,86.309998,70.087921,2326500
2019-12-30,86.389999,86.669998,85.519997,85.699997,69.592560,2568800
2019-12-31,85.709999,85.889999,84.779999,85.089996,69.097221,3718900
2020-01-02,85.510002,86.169998,84.760002,85.190002,69.178429,5107200
2020-01-03,85.029999,85.940002,84.860001,85.029999,69.048500,3806700
2020-01-06,84.910004,86.110001,84.370003,86.019997,69.852417,7041400
2020-01-07,85.629997,86.830002,85.269997,86.400002,70.160995,4311600
2020-01-08,86.800003,88.349998,86.430000,88.040001,71.492760,5337600
2020-01-09,88.370003,88.669998,87.419998,88.279999,71.687660,6180100
2020-01-10,88.959999,89.000000,87.330002,87.459999,71.021767,4411000
2020-01-13,87.410004,88.449997,87.269997,87.820000,71.314117,5402900
2020-01-14,87.699997,87.940002,87.239998,87.580002,71.119209,5129300
2020-01-15,87.309998,88.889999,87.300003,88.320000,71.720146,4155400
2020-01-16,88.620003,88.870003,88.190002,88.559998,71.915031,2602300
2020-01-17,88.580002,88.879997,87.739998,88.690002,72.020592,5908400
2020-01-21,88.440002,88.989998,87.900002,88.870003,72.166763,6373200
2020-01-22,88.570000,89.129997,88.489998,88.980003,72.256088,4595700
2020-01-23,88.559998,88.820000,87.019997,87.080002,70.713203,4592100
2020-01-24,86.830002,87.330002,85.639999,86.150002,69.957977,3888700
2020-01-27,85.449997,85.900002,84.570000,84.709999,68.788635,3795400
2020-01-28,84.550003,84.940002,84.070000,84.680000,68.764282,5263700
2020-01-29,84.870003,85.190002,83.940002,83.959999,68.179604,4418500
2020-01-30,83.209999,84.529999,82.529999,84.330002,68.480064,5625100
2020-01-31,84.190002,84.300003,82.269997,82.699997,67.156425,4861600
2020-02-03,82.639999,84.190002,82.639999,83.000000,67.400047,3356400
2020-02-04,83.019997,84.110001,82.820000,83.599998,67.887245,4615900
2020-02-05,83.599998,84.779999,83.599998,83.940002,68.163368,4860800
2020-02-06,84.800003,88.800003,84.580002,86.180000,69.982353,7306200
